AuthorID,BrandID,ScreenName,InfluencerCategory,Channel
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1679713041355505664,7527,aka_12211,Designer,Twitterbrandmention
1679713041355505664,7527,aka_12211,Designer,Twitterbrandmention
1679713041355505664,7527,aka_12211,Designer,Twitterbrandmention
1679713041355505664,7527,aka_12211,Designer,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1593500509666615296,7527,PratikshaPohak2,Security Forces,Twitter
1593500509666615296,7527,PratikshaPohak2,Film Maker,Twitterbrandmention
1593500509666615296,7527,PratikshaPohak2,Film Maker,PublicTweets
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
1677175527105257473,7527,rahul160102,Designer,PublicTweets
1677175527105257473,7527,rahul160102,Designer,Twitterbrandmention
1677175527105257473,7527,rahul160102,Bloggers & Micro Influencers,Twitter
