"RecordDate","Sentiment","Author","AuthorID","ScreenName","ChannelGroupID","IsBrandPost","PostType","BrandName","InfluencerCategory","IsAuthorInfluencer"
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,Kadervalli Valli,"24324221113893055",,2,0,4,TATADigital,,0
2023-12-16,Negative,Prince_Agrawal,"631a842a-1d2e-414d-8718-d32b5fc8845c",,30,0,14,TATADigital,,0
2023-12-16,Negative,p n sheth,"170639735",tankara8,1,0,6,TATADigital,Tool Tagged,1
2023-12-16,Neutral,HP,"2794021136",WTP_Financial,1,0,6,TATADigital,,0
2023-12-16,Neutral,HDFC Bank Cares,"1733809884431560704",HDFCBank_Car41,1,0,2,TATADigital,,0
2023-12-16,Neutral,Smaran Nagaraj,"2860298472",SmaranNagaraj,1,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,Yashoda Prarthana,"24329738193339514",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Akanksha Akanksha,"6426341340779071",,2,0,4,TATADigital,,0
2023-12-16,Neutral,_manishanker,"24269010916080200",_manishanker,3,0,6,TATADigital,,0
2023-12-16,Neutral,HP,"2794021136",WTP_Financial,1,0,11,TATADigital,,0
2023-12-16,Neutral,HDFC Bank Cares,"1733809884431560704",HDFCBank_Car41,1,0,2,TATADigital,,0
2023-12-16,Neutral,Smaran Nagaraj,"2860298472",SmaranNagaraj,1,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Positive,Sanku Saha,"24387637050883806",,2,0,4,TATADigital,,0
2023-12-16,Neutral,Prakash Jalera,"6507227436048404",,2,0,4,TATADigital,,0
2023-12-16,Neutral,_manishanker,"24269010916080200",_manishanker,3,0,6,TATADigital,,0
2023-12-16,Neutral,Subzar Shah,"25322937140638712",,2,0,4,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Neutral,Smaran Nagaraj,"2860298472",SmaranNagaraj,1,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364",,2,1,3,TATADigital,,0
2023-12-16,Neutral,Mang Diki,"24729334286666101","",2,0,6,TATADigital,,0
2023-12-16,Positive,Yadav Yadav,"6682788188470200",,2,0,4,TATADigital,,0
2023-12-16,Neutral,janhvi.chaware_,"24388459880799732",janhvi.chaware_,3,0,6,TATADigital,,0
2023-12-16,Negative,BabaGolmaal,"3240109257",babagolmaal,1,0,11,TATADigital,,0
2023-12-16,Neutral,tataneuofficial,"17841448587876084",tataneuofficial,3,1,7,TATADigital,,0
2023-12-16,Positive,Smaran Nagaraj,"2860298472",SmaranNagaraj,1,0,6,TATADigital,,0
2023-12-16,Neutral,Tata Neu,"1435826566043340801",tata_neu,1,1,10,TATADigital,Redundant,1
2023-12-16,Neutral,Tata Neu,"104912528627364","",2,1,7,TATADigital,,0
2023-12-16,Negative,Pintu Sah,"25180874798178333",,2,0,4,TATADigital,,0
2023-12-16,Positive,Debendra Panda,"6722560597852974",,2,0,4,TATADigital,,0
