"InsertedDate","TicketID","BrandID","FirstlevelTAT_Seconds","TotalTAT_Seconds","IsTicketClosed","AssignToAgentUserID","ClosedBy","BrandName"
2023-12-05,435034,6954,,32011,1,,13250,TATADigital
2023-12-05,435035,6954,,32009,1,,13250,TATADigital
2023-12-05,435024,6954,,32035,1,,13250,TATADigital
2023-12-05,435025,6954,,32033,1,,13250,TATADigital
2023-12-05,435026,6954,,32035,1,,13250,TATADigital
2023-12-05,435027,6954,,32033,1,,13250,TATADigital
2023-12-05,435028,6954,,32032,1,,13250,TATADigital
2023-12-05,435029,6954,,32031,1,,13250,TATADigital
2023-12-05,435018,6954,,32046,1,,13250,TATADigital
2023-12-05,435019,6954,,32049,1,,13250,TATADigital
2023-12-05,435020,6954,,32044,1,,13250,TATADigital
2023-12-05,435021,6954,,32043,1,,13250,TATADigital
2023-12-05,435022,6954,,32042,1,,13250,TATADigital
2023-12-05,435023,6954,,32040,1,,13250,TATADigital
2023-12-05,435012,6954,,32102,1,,13250,TATADigital
2023-12-05,435013,6954,,32101,1,,13250,TATADigital
2023-12-05,435014,6954,,32100,1,,13250,TATADigital
2023-12-05,435015,6954,,32099,1,,13250,TATADigital
2023-12-05,435016,6954,,32099,1,,13250,TATADigital
2023-12-05,435017,6954,,32049,1,,13250,TATADigital
2023-12-05,435006,6954,,32108,1,,13250,TATADigital
2023-12-05,435007,6954,,32107,1,,13250,TATADigital
2023-12-05,435008,6954,,32105,1,,13250,TATADigital
2023-12-05,435009,6954,,32104,1,,13250,TATADigital
2023-12-05,435010,6954,,32104,1,,13250,TATADigital
2023-12-05,435011,6954,,32103,1,,13250,TATADigital
2023-12-05,435000,6954,,32118,1,,13250,TATADigital
2023-12-05,435001,6954,,32115,1,,13250,TATADigital
2023-12-05,435002,6954,,32114,1,,13250,TATADigital
2023-12-05,435003,6954,,32113,1,,13250,TATADigital
2023-12-05,435004,6954,,32111,1,,13250,TATADigital
2023-12-05,435005,6954,,32110,1,,13250,TATADigital
2023-12-05,434994,6954,,32132,1,,13250,TATADigital
2023-12-05,434995,6954,,32130,1,,13250,TATADigital
2023-12-05,434996,6954,,32129,1,,13250,TATADigital
2023-12-05,434997,6954,,32129,1,,13250,TATADigital
2023-12-05,434998,6954,,32127,1,,13250,TATADigital
2023-12-05,434999,6954,,32125,1,,13250,TATADigital
2023-12-05,434988,6954,,32150,1,,13250,TATADigital
2023-12-05,434989,6954,,32149,1,,13250,TATADigital
2023-12-05,434990,6954,,32147,1,,13250,TATADigital
2023-12-05,434991,6954,,32138,1,,13250,TATADigital
2023-12-05,434992,6954,,32134,1,,13250,TATADigital
2023-12-05,434993,6954,,32133,1,,13250,TATADigital
2023-12-05,434982,6954,,32174,1,,13250,TATADigital
2023-12-05,434983,6954,,32172,1,,13250,TATADigital
2023-12-05,434984,6954,,32157,1,,13250,TATADigital
2023-12-05,434985,6954,,32156,1,,13250,TATADigital
2023-12-05,434986,6954,,32153,1,,13250,TATADigital
2023-12-05,434987,6954,,32151,1,,13250,TATADigital
2023-12-05,434976,6954,,32194,1,,13250,TATADigital
2023-12-05,434977,6954,,32188,1,,13250,TATADigital
2023-12-05,434978,6954,,32183,1,,13250,TATADigital
2023-12-05,434979,6954,,32180,1,,13250,TATADigital
2023-12-05,434980,6954,,32178,1,,13250,TATADigital
2023-12-05,434981,6954,,32176,1,,13250,TATADigital
2023-12-05,434970,6954,,32212,1,,13250,TATADigital
2023-12-05,434971,6954,,32211,1,,13250,TATADigital
2023-12-05,434972,6954,,32209,1,,13250,TATADigital
2023-12-05,434973,6954,,32207,1,,13250,TATADigital
2023-12-05,434974,6954,,32203,1,,13250,TATADigital
2023-12-05,434975,6954,,32197,1,,13250,TATADigital
2023-12-05,434964,6954,,32230,1,,13250,TATADigital
2023-12-05,434965,6954,,32228,1,,13250,TATADigital
2023-12-05,434966,6954,,32222,1,,13250,TATADigital
2023-12-05,434967,6954,,32220,1,,13250,TATADigital
